Month,Site Code,Site Name,Offline,Online
June 2022,L4-VC1-IL305 - Outside and Second Floor  Senior High School Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:53:10,2022-06-10 15:53:38
June 2022,L4-VC1-IL305 - Outside and Second Floor  Senior High School Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:50:10,2022-06-10 15:50:26
June 2022,L4-VC1-IL305 - Outside and Second Floor  Senior High School Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:38:10,2022-06-10 15:38:34
June 2022,L4-VC1-IL303 - Outside and Second Floor of  STE Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:27:10,2022-06-10 15:28:09
June 2022,L4-VC1-IL304 - Outside and Back of Grade 8  building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:24:10,2022-06-10 15:28:08
June 2022,L4-VC1-IL305 - Outside and Second Floor  Senior High School Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:24:10,2022-06-10 15:25:07
June 2022,L4-VC1-IL303 - Outside and Second Floor of  STE Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:24:10,2022-06-10 15:25:26
June 2022,L4-VC1-IL303 - Outside and Second Floor of  STE Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-10 15:14:10,2022-06-10 15:14:30
June 2022,L4-VC1-IL302 - Outside and Second Floor of  Admin Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-08 04:21:13,2022-06-08 06:03:36
June 2022,L4-VC1-IL303 - Outside and Second Floor of  STE Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-08 04:21:13,2022-06-08 06:03:37
June 2022,L4-VC1-IL305 - Outside and Second Floor  Senior High School Building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-08 04:21:13,2022-06-08 06:03:35
June 2022,L4-VC1-IL304 - Outside and Back of Grade 8  building,POTOTAN COMPREHENSIVE NATIONAL HIGH SCHOOL,2022-06-08 04:20:13,2022-06-08 06:03:37
